862,16
862,35
862,10751
8844,12
8844,14
8844,10751
11862,35
949,28
949,80
949,18
949,53
11860,35
11860,10749
9091,28
9091,12
9091,53
710,12
710,28
710,53
9087,35
9087,18
9087,10749
12110,35
12110,27
21032,10751
21032,16
21032,12
1408,28
1408,12
524,18
524,80
4584,18
4584,10749
5,80
5,35
9273,80
9273,35
9273,12
11517,28
11517,35
11517,80
8012,35
8012,53
8012,80
1710,18
1710,53
9691,28
9691,12
9691,80
9691,53
12665,18
12665,14
12665,878
12665,53
451,18
451,10749
9909,18
9909,80
63,878
63,53
63,9648
9598,14
9598,18
9598,35
9598,10751
687,18
33689,35
33689,10751
33689,10749
9603,35
9603,18
9603,10749
9312,28
9312,14
577,14
577,18
577,35
577,53
807,80
807,9648
807,53
10530,12
10530,16
10530,18
10530,10751
629,18
629,80
629,53
11448,35
11448,10749
11359,12
11359,10751
11359,14
2054,10402
2054,18
2054,10751
10607,35
9536,35
10634,35
755,27
755,28
755,53
755,80
9102,27
9102,878
13997,35
2086,80
2086,18
2086,53
12158,35
12158,27
12158,10749
9283,35
9283,18
9283,10749
9208,28
9208,12
9208,18
9208,53
13685,35
13685,80
13685,18
9614,35
688,18
688,10749
197,28
197,18
197,36
197,10752
103,80
103,18
11066,35
11066,10749
27793,14
9101,35
11000,35
9737,28
9737,35
9737,80
9737,53
10474,18
10474,80
568,18
11780,12
414,28
414,80
414,14
8839,14
8839,35
8839,10751
10329,28
10329,12
10329,18
10329,9648
10329,878
10329,53
8963,28
8963,53
8963,18
8068,53
8068,28
8068,80
1572,28
1572,53
6520,28
6520,12
6520,18
6520,10749
9073,12
10428,28
10428,80
10428,53
10428,18
9886,12
9886,28
9886,18
9886,878
9886,53
9482,878
9344,18
9344,80
2293,10749
2293,35
9070,28
9070,12
9070,878
9070,10751
9070,14
1642,80
1642,18
1642,9648
1642,53
1642,28
11472,35
11980,14
11980,27
11980,53
10533,18
10533,36
10533,10749
10802,18
10149,35
10149,18
9348,878
9348,27
9348,28
281,80
281,18
281,878
281,53
36834,18
36834,10749
9090,35
3512,28
3512,53
9560,18
9560,10749
9804,12
9804,28
76,18
76,10749
11017,35
2292,35
1909,10749
1909,18
1909,35
8984,18
8984,53
8984,80
8984,9648
8984,10749
11929,80
11929,18
11929,9648
8467,35
522,35
522,18
522,36
397,35
397,10749
15789,10749
15789,16
15789,10751
15789,35
15789,12
1024,18
1024,14
11777,35
11777,18
11777,10749
628,27
628,10749
6280,35
6280,10751
6280,10749
9061,28
9061,18
9061,9648
9061,53
11,12
11,28
11,878
9587,18
9587,10749
19101,18
19101,10751
19101,14
4476,12
4476,18
4476,10749
4476,10752
11008,12
11008,35
11008,10751
3036,18
3036,27
3036,878
3036,10749
10510,14
10510,18
10510,10751
8438,80
8438,18
1945,18
1945,53
241,80
241,53
241,18
527,18
6950,28
6950,18
6950,878
6950,53
680,53
680,80
11450,36
11450,18
12106,28
12106,37
22586,16
2636,28
2636,53
2164,28
2164,12
2164,878
11395,14
11395,18
11395,35
11395,10751
278,18
278,80
9905,80
9905,53
20306,80
20306,35
9067,28
9067,35
9067,14
9067,878
193,878
193,28
193,12
193,53
12122,53
12122,27
12122,878
11381,35
1587,10749
1587,18
9271,28
9271,80
9271,878
9271,53
2064,35
2064,18
2064,10749
236,18
236,35
236,10749
3049,35
3049,9648
2759,18
2759,35
10497,53
10497,18
10497,10749
11382,28
11382,35
11382,53
9331,28
9331,18
9331,53
10731,18
10731,53
10731,80
10731,9648
9495,14
9495,28
9495,53
888,14
888,35
888,10751
13,35
13,18
13,10749
712,35
712,18
712,10749
10660,35
10660,18
10660,10749
10714,12
10714,18
10714,10751
8587,10751
8587,16
8587,18
11596,27
11596,53
11596,9648
11596,14
854,10749
854,35
854,80
854,14
9359,28
9359,12
9359,35
9359,18
9359,37
36593,35
36593,80
2788,18
11011,35
11011,10751
8987,28
8987,12
8987,80
8987,53
1637,28
1637,12
1637,80
8831,53
8831,878
8831,28
8831,80
36955,28
36955,53
10395,14
12160,18
12160,28
12160,37
11667,28
11667,12
11667,53
8011,28
8011,14
8011,878
2654,27
2654,9648
2654,53
2758,35
2758,10751
2758,14
10436,18
10436,10749
13595,35
13595,80
13595,10402
306,28
306,35
306,80
178,18
178,28
178,53
4722,27
4722,878
4722,53
1607,18
1607,80
6075,28
6075,80
6075,18
6075,53
11310,28
11310,35
11310,18
11310,37
9350,28
9350,12
9350,53
9612,35
9612,878
9612,10751
2124,18
2124,9648
2124,10749
2124,53
11566,35
9571,35
9571,18
9739,80
9739,28
9739,878
37233,18
37233,9648
37233,53
1634,10751
1634,12
5503,12
5503,28
5503,53
5503,80
5503,9648
2019,28
2019,12
2019,80
2019,53
9255,28
9255,35
9255,10752
2259,10749
2259,18
11934,35
11934,18
9386,28
9386,18
9386,53
9386,80
9386,9648
7984,18
329,12
329,878
10909,53
10909,80
507,28
507,80
507,18
507,53
9593,12
9593,14
9593,28
9593,35
9593,10751
2246,18
2246,80
10502,18
10440,35
10440,9648
9516,18
9516,28
9516,80
2320,28
2320,12
2320,18
2320,53
11971,18
11971,35
11971,10749
788,35
788,18
788,10751
21450,35
21450,18
11231,12
9559,80
9559,18
9559,53
9800,18
713,18
713,10749
1245,18
1245,10749
7007,28
7007,18
7007,53
5550,28
5550,12
5550,80
5550,878
5550,53
8005,35
10412,28
10412,18
10412,53
14534,18
424,18
424,36
424,10752
11236,18
11236,10751
11236,14
11592,35
11592,80
11592,27
11592,53
8850,12
8850,14
8850,28
8850,53
8850,878
695,35
695,18
858,35
858,18
858,10749
867,18
867,53
78,878
78,18
78,53
10442,35
10442,80
10442,10749
11074,80
11074,28
11074,9648
11074,53
9607,12
9607,35
9607,10751
9607,14
9479,14
9479,16
9479,10751
10057,28
10057,12
10057,35
11969,28
11969,12
11969,18
11969,36
11969,37
319,28
319,53
319,80
319,10749
15139,14
15139,878
15139,10751
15139,16
11446,35
11446,18
11655,18
11655,27
11655,53
10897,10749
10897,35
10897,10751
771,35
771,10751
251,14
251,18
251,53
251,9648
251,10749
812,16
812,10751
812,35
812,12
812,14
812,10749
280,28
280,53
280,878
581,12
581,18
581,37
268,14
268,28
274,80
274,18
274,53
408,14
408,16
408,10751
10020,10749
10020,10751
10020,16
10020,14
10020,10402
10895,16
10895,10751
114,10749
114,35
576,12
576,37
7300,35
7300,10749
275,80
275,18
275,53
25059,12
25059,35
25059,18
25059,10751
11827,16
11827,878
8766,27
8766,53
8766,878
10112,16
10112,35
10112,10751
10112,12
1592,80
1592,18
1592,9648
1592,53
10684,18
10684,53
10684,9648
10684,10752
954,12
954,28
954,53
8840,14
10539,12
10539,16
10539,10751
10543,18
10543,53
10543,10749
2300,16
2300,35
2300,18
2300,10751
2300,14
8069,878
9103,28
9103,12
12233,16
12233,35
12233,10751
922,18
922,14
922,37
9304,35
9304,14
9304,878
9100,18
9100,14
9100,27
9100,53
9802,28
9802,12
9802,53
664,28
664,12
664,18
11867,28
11867,878
10280,27
10280,53
10535,28
10535,35
532,10751
532,16
532,35
10547,28
10547,9648
10547,878
10547,53
935,18
935,35
935,10752
9826,12
9826,28
9879,18
9879,53
9879,80
7095,35
7095,18
7095,878
627,18
627,80
602,28
602,12
602,878
9566,18
9566,9648
9566,53
10545,18
10545,16
10545,10751
9894,35
9894,18
9894,53
11543,35
9268,28
9268,18
9268,9648
9268,53
9327,14
9327,35
9327,10749
9327,878
11228,28
11228,12
11228,53
10779,27
10779,35
9294,18
9294,14
9294,10749
9294,878
1645,80
1645,18
1645,53
2925,35
3595,28
3595,53
12123,28
12123,18
12123,878
12123,53
10830,35
10830,10751
10830,14
3573,18
3573,35
3573,10749
10546,28
10546,14
10546,53
10061,28
10061,12
10061,878
10061,53
10478,35
10478,18
10478,10749
238,18
238,80
9303,80
9303,18
9303,10749
9303,53
11015,27
11015,9648
11015,53
9306,14
9306,27
9306,878
10723,28
10723,12
10723,35
10723,53
10987,27
10987,53
981,35
981,10749
872,35
872,10402
872,10749
2769,18
2769,35
2769,10402
2769,10749
13320,10402
13320,35
13320,10749
164,35
164,18
164,10749
426,9648
426,10749
426,53
567,18
567,9648
567,53
3078,35
3078,10749
213,9648
213,53
284,35
284,18
284,10749
239,35
239,10749
4808,35
4808,9648
4808,10749
4808,53
289,18
289,10749
963,9648
963,80
963,53
11113,18
11113,10751
11113,10402
11113,10749
6620,35
6620,18
6620,10749
804,35
804,10749
630,12
630,10751
630,14
770,18
770,10749
770,10752
599,18
15,9648
15,18
62,878
62,9648
62,12
705,18
223,18
223,9648
303,53
303,18
303,10749
4174,18
4174,9648
4174,53
8356,18
8356,10749
381,80
381,18
381,9648
381,10749
381,53
10907,28
10907,12
10907,10749
1939,18
1939,9648
198,35
198,10752
1712,28
1712,18
1712,37
220,18
3085,35
3085,18
1585,18
1585,10751
1585,14
3083,35
3083,18
900,35
900,10749
260,28
260,53
260,9648
10331,27
488,12
488,10752
488,10749
261,18
261,10749
11076,28
11076,12
11076,18
11076,10751
10861,28
10861,12
10861,53
9333,28
9333,80
9333,18
9333,53
9625,28
9625,12
9625,80
9625,18
9625,53
14136,35
14136,10751
14136,14
6878,12
6878,35
6878,18
6878,10751
173,12
173,18
173,878
864,35
24795,14
24795,18
24795,35
24795,10751
11224,10751
11224,14
11224,16
11224,10749
15947,16
15947,10751
15947,10402
9078,16
9078,10751
8367,12
433,35
433,10751
433,14
11360,16
11360,10751
11114,14
11114,16
11114,35
11114,10751
12335,12
12335,14
12335,16
12335,35
12335,10751
12335,10402
12092,16
12092,12
12092,10751
12092,14
10948,12
10948,16
10948,18
10948,10751
15121,18
15121,10751
15121,10402
15121,10749
562,28
562,53
10163,27
10163,53
10163,878
11159,18
9591,35
9591,18
11412,80
11412,28
11412,9648
11412,53
10586,12
9716,10402
9716,35
9716,10749
454,18
454,10749
10218,35
10218,10749
819,80
819,18
819,53
11238,12
11238,16
11238,10751
252,10751
252,14
16372,27
11561,35
11561,10749
11561,878
11302,35
623,35
623,80
583,35
475,80
475,18
521,80
521,9648
521,53
88,18
88,10402
88,10749
500,80
500,53
792,18
792,10752
792,28
8491,35
402,53
402,9648
10537,18
10537,10402
11386,10749
11386,80
11386,18
11386,53
9504,80
9504,18
9504,9648
15764,18
15764,10749
601,878
601,12
601,10751
601,14
2119,12
744,28
744,10749
744,10752
221,18
702,18
1630,18
11816,18
11843,9648
11843,35
11843,80
10379,35
10379,14
10379,10751
2756,12
2756,28
2756,53
2756,878
790,27
1103,878
1103,28
11298,18
11298,27
10765,35
762,12
762,35
762,14
531,16
531,35
531,10751
7452,80
7452,18
975,18
975,10752
18129,80
18129,18
409,18
409,10749
409,10752
10161,18
1412,18
14285,9648
14285,99
14285,80
510,18
11455,35
1891,12
1891,28
1891,878
2493,12
2493,10751
2493,14
2493,35
2493,10749
85,12
85,28
68,35
68,878
679,27
679,28
679,53
679,878
13446,35
13446,18
389,18
947,12
947,18
947,36
947,10752
185,878
185,18
595,80
595,18
28,18
28,10752
1892,12
1892,28
1892,878
1092,53
1092,9648
769,18
769,80
348,27
348,28
348,53
348,878
766,14
766,27
766,35
539,18
539,27
539,53
525,10402
525,35
525,28
525,80
240,18
240,80
600,18
600,10752
530,12
530,16
530,35
530,878
530,10751
279,18
279,36
279,10402
3109,35
3109,18
3109,10749
311,18
311,80
1578,18
703,35
703,18
703,10749
9549,18
9549,36
9277,35
9277,80
9277,18
343,35
343,18
343,10749
218,28
218,53
218,878
763,27
763,35
9665,10752
696,35
696,18
696,10749
379,18
379,53
379,80
207,18
37247,18
1480,18
1480,53
1480,80
826,18
826,36
826,10752
829,80
829,18
829,9648
829,53
828,18
828,878
828,53
3090,28
3090,12
3090,18
3090,37
9964,28
9964,35
9964,27
9964,878
3063,35
13667,35
694,27
694,53
235,80
235,18
765,27
765,35
765,14
5925,12
5925,18
5925,36
5925,53
5925,10752
11778,18
11778,10752
137,10749
137,14
137,18
137,35
33,37
982,9648
982,53
212,35
212,80
105,12
105,35
105,878
105,10751
1633,18
1633,35
11202,18
11202,36
11202,10752
1554,80
1554,18
1554,35
8009,12
8009,28
8009,14
903,80
903,18
3034,35
3034,878
339,35
339,18
914,35
756,16
756,10751
756,10402
288,37
910,80
910,18
910,9648
910,53
2640,53
2640,35
2640,18
16633,878
16633,18
16633,14
16633,10749
665,28
665,12
665,18
665,36
11031,35
11031,10402
11314,99
11314,10402
15143,18
15143,10749
89,12
89,28
10322,35
10322,18
783,18
783,36
11257,18
11257,10749
14370,35
14370,10749
12104,10402
625,10752
625,18
625,36
830,12
830,878
830,28
2323,18
2323,14
983,12
983,18
642,36
642,18
642,37
642,80
655,18
639,35
639,10749
639,18
8077,878
8077,28
8077,27
814,27
814,35
11449,18
11449,27
11449,53
571,27
8851,27
8851,878
6114,10749
6114,27
229,27
229,878
9529,18
9529,27
9529,53
1598,80
1598,53
11349,18
11349,53
7340,27
7340,53
377,27
794,27
794,53
2212,28
2212,18
2212,27
2212,9648
2212,53
199,878
199,28
199,12
199,53
7863,18
12498,18
9279,10751
9279,35
20539,18
20539,36
11674,35
11674,10751
1573,28
1573,53
152,878
152,12
152,9648
174,878
174,28
174,12
174,53
172,878
172,28
172,12
172,53
154,28
154,12
154,878
154,53
157,878
157,28
157,12
157,53
168,878
168,12
364,28
364,14
11967,80
11967,28
11967,12
11967,18
11967,37
9086,37
9086,12
621,10749
9037,35
9037,18
9037,10751
9037,10402
